DBH,Height,Volume
10.6,12.5,0.0613
14.8,13.6,0.1138
14.8,8.7,0.0709
15,12,0.1168
15.5,16.6,0.1536
15.5,10.6,0.0941
16.3,15,0.1441
16.6,17,0.2047
16.8,10.9,0.1211
17,12.9,0.1432
18,14.5,0.1677
18.2,14.8,0.1761
18.2,15.7,0.1885
19,18.1,0.2604
19,17,0.2271
19.4,15.1,0.2233
19.7,21,0.2742
20.2,13.7,0.1891
20.4,15.4,0.2109
21.2,17.1,0.3017
21.5,19.5,0.3907
22.5,22.4,0.4258
22.8,17.3,0.2936
23,21.8,0.511
23,20.9,0.3985
23.1,20.5,0.4002
23.2,23.6,0.4907
24.6,12.3,0.2315
25.7,17.2,0.4178
26,19.3,0.4547
26.1,21.8,0.5577
26.2,22.5,0.6302
26.5,19.3,0.4216
