DBH,Height
7.9,9.8
8.1,8
8.6,9.8
9.1,9.5
9.5,9.1
10.1,11
11,11.5
11.4,9.6
12,13
12.5,12.1
14,15.1
14.3,11.6
14.5,12.3
15,15.8
15.5,14.4
16.2,16.3
16.5,14.3
16.5,15.3
17,14.3
17.2,14
17.2,15
17.7,15.8
18.2,14
18.3,13.6
18.3,16.3
18.3,16.6
20.1,14.7
20.3,17.1
20.3,17.8
20.5,15.8
20.5,18.3
20.6,14.5
20.7,16.2
21.2,16.6
21.5,17.3
21.7,17.7
22,18.3
22.2,17.8
22.3,17.5
22.4,17.8
22.8,15.8
22.9,16.1
23,17.6
23.1,17.1
23.2,14.9
23.9,17.1
24.8,19
25,18.3
26,17.8
26.4,19.3
27.5,17.8
28,19.6
30.7,19.8
31.5,20.1
33.6,20.6
