Year,Year.w,Qrt,N
2002,2002,1,73286
2002,2002.25,2,102924
2002,2002.5,3,147985
2002,2002.75,4,150634
2003,2003,1,77635
2003,2003.25,2,125114
2003,2003.5,3,286843
2003,2003.75,4,217047
2004,2004,1,132726
2004,2004.25,2,214815
2004,2004.5,3,208046
2004,2004.75,4,224216
2005,2005,1,176488
2005,2005.25,2,191671
2005,2005.5,3,297548
2005,2005.75,4,278000
2006,2006,1,213496
2006,2006.25,2,204692
2006,2006.5,3,400372
2006,2006.75,4,293280
2007,2007,1,180981
2007,2007.25,2,236875
2007,2007.5,3,361561
2007,2007.75,4,265466
2008,2008,1,164766
2008,2008.25,2,247435
2008,2008.5,3,359227
2008,2008.75,4,255587
2009,2009,1,217947
2009,2009.25,2,315524
2009,2009.5,3,383720
2009,2009.75,4,340317
2010,2010,1,274097
2010,2010.25,2,391420
2010,2010.5,3,519198
2010,2010.75,4,337501
2011,2011,1,224049
2011,2011.25,2,370662
2011,2011.5,3,542630
2011,2011.75,4,393029
2012,2012,1,273001
2012,2012.25,2,331281
2012,2012.5,3,491699
2012,2012.75,4,380329
2013,2013,1,278951
2013,2013.25,2,325451
2013,2013.5,3,439071
2013,2013.75,4,344204
